"TicketID","TransactionID","CreatedDate","SubjectNoHTML","TransactionContent"
"3092561","66731663","2025-01-03 17:23:08","taki - ImportError: libbz2.so.1.0: cannot open shared object file: No such file or directory","It is also possible to module load bzip2. When you module load bzip2 it will update GCCcore/11.2.0 to GCCcore/12.2.0. After running the command module load bzip2, import bz2 wasn't returning an error. I recommend trying module load bzip2, let me know if you still have the error. On Fri Jan 03 [STAFF] wrote: I added this to my slurm script and to my bash script which calls slurm and I still get the same error message. Ticket <URL: https://rt.[DOMAIN]/Ticket/Display.html?id=[ID]> Last Update From Ticket: Hello [USER], If we edit /etc/ld.so.conf, it may break other peoples code. I would first recommend adding /usr/lib64 to the PATH variable. (PATH=/usr/lib64:$PATH). I am hoping it will make libbz2.so.1.0 easily discoverable. Let us know, if you still get the error. On Mon Dec [DATE] [USER] wrote: First Name: [USER] Last Name: [USER] Email: [EMAIL] Campus ID: [CAMPUS_ID] System: taki Request Type: General Support I am running into this ImportError: libbz2.so.1.0: cannot open shared object file: No such file or directory More of the traceback message says: import bz2 File '/usr/cluster/contrib/Python/3.7.6-intel-2019a-2018/lib/python3.7/bz2.py', line 19, in from _bz2 import BZ2Compressor, BZ2Decompressor ImportError: libbz2.so.1.0: cannot open shared object file: No such file or directory When I looked online to try to fix this error, I saw this suggestion: https://stackoverflow.com/questions/20842732/libpython2-7-so-1-0-cannot-open-shared-object-file-no-such-file-or-directory The basic steps suggest: 1) run command: whereis libpython2.7.so.1.0 (output says: libpython2.7.so.1: /usr/lib64/libpython2.7.so.1.0) 2) paste /usr/lib64 to /etc/ld.so.conf 3) run ldconfig Can you look into this and help me solve this error? I don't want to accidentally break anything. I am using python venv to install local packages as needed but this error requires more steps Best, [STAFF]"
"3093471","67905558","2025-02-28 17:32:52","taki - publications to post","We have added the 2 publication below to the website. On Fri Jan 17 18:00:28 2025, [STAFF] wrote: > Hi, [USER], wonderful. I appreciate how little time you have. Have a great weekend! But may I remind you that we also had these two, I quote the whole e-mail that I had forward you once: Hello [USER], I wanted to share with you a couple of recent publications of ours that utilized the UMBC HPCF for data analysis. The publications are: 1. B. Joshi, T. A. Smith, and Y. Shih, Phys. Rev. A *110*, L031702 (2024) (doi: 10.1103/PhysRevA.110.L031702). 2. B. Joshi, T. A. Smith, and Y. Shih, Appl. Phys. Lett. *125*, 241105 (2024) (doi: 10.1063/5.0243508). Thanks for your support! Regards, [USER] Graduate student Department of Physics, UMBC On Fri, Jan 17, 2025 at 5:17 PM [STAFF] via RT <[EMAIL]> wrote: > If you agree your issue is resolved, please give us feedback on your experience by completing a brief satisfaction survey: https://umbc.us2.qualtrics.com/SE/?SID=SV_etfDUq3MTISF6Ly&customeremail=[EMAIL]&groupid=EIS&ticketid=3093471&ticketowner=proutry1%40umbc.edu&ticketsubject=taki - publications to post > If you believe your issue has not been resolved, please respond to this message, which will reopen your ticket. Note: A full record of your request can be found at: Ticket https://rt.umbc.edu/Ticket/Display.html?id=3093471 > Thank You > > ______________________________________ > Resolution: Done! Sorry for the lag. Finally found some time in the week to get to this. Take care On Mon Jan 13 14:27:56 2025, [STAFF] wrote: > Hi, [USER], Yes, the 3 posted pubs (2 tech. rep. plus 1 conference paper) look good. In my original ticket, the limited number of characters cut off the 4th publication like: Michael O. Chen, Julian Hodge, Peter L. Jin, Ella Protz, Elizabeth Wong, Ruth Obe, Ehsan Shakeri, Mostafa Cham, Matthias K. Gobbert, Carlos A. Barajas The PDF file for this is BigDataREU2024Team2REUSymposium.pdf If you open that, you can see the title and rest of author list. It should be: Michael O. Chen, Julian Hodge, Peter L. Jin, Ella Protz, Elizabeth Wong, Ruth Obe, Ehsan Shakeri, Mostafa Cham, Matthias K. Gobbert, Carlos A. Barajas, Vijay R. Sharma, Sina Mossahebi, Lei Ren, Stephen W. Peterson, and Jerimy C. Polf. Improving Gamma Imaging in Proton Therapy by Sanitizing Compton Camera Simulated Patient Data using Neural Networks through the BRIDE Pipeline. It is the same conference, so copy the rest of the citation from the other IEEE Big Data paper. I hope this makes sense. Glad to hear that the tech. rep. server will continue to exist. Matthias -- [USER] Appointment Calendar: https://calendar.app.google/iorJbqg6p7N5oPbD9 royprouty.info > > __________________________________ Original Request: Requestors: [STAFF] First Name: [STAFF] Last Name: [STAFF] Email: [EMAIL] Campus ID: [USER] System: taki Request Type: General Support Hi, [STAFF] and all, I sincerely hope that we will still maintain the publications page at the HPCF webpage, under the Research tab. Here are four publications to please post. If I had still access, I would have done it; let me know. I already put the PDF files into the standard location, which I am listing under each as a fully qualified location. Recently, also one user contacted me for two other publications. I will forward that e-mail to [STAFF]. Thanks, [USER] Olivia Zhang, Brianna Grissom, Julian Pulido, Kenia Munoz-Ordaz, Jonathan He, Mostafa Cham, Haotong Jing, Weikang Qian, Yixin Wen, and Jianwu Wang. Accurate and interpretable radar quantitative precipitation estimation with symbolic regression. Technical Report HPCF–2024–4, UMBC High Performance Computing Facility, University of Maryland, Baltimore County, 2024. PDF file at http://hpcf-files.umbc.edu/research/papers/BigDataREU2024Team1.pdf Michael O. Chen, Julian Hodge, Peter L. Jin, Ella Protz, Elizabeth Wong, Ruth Obe, Ehsan Shakeri, Mostafa Cham, Matthias K. Gobbert, Carlos A. Barajas, Zhuoran Jiang, Vijay R. Sharma, Lei Ren, Sina Mossahebi, Stephen W. Peterson, and Jerimy C. Polf. Using neural networks to sanitize Compton camera simulated data through the BRIDE pipeline for improving gamma imaging in proton therapy on the ada cluster. Technical Report HPCF–2024–5, UMBC High Performance Computing Facility, University of Maryland, Baltimore County, 2024. PDF file at http://hpcf-files.umbc.edu/research/papers/BigDataREU2024Team2.pdf Olivia Zhang, Brianna Grissom, Julian Pulido, Kenia Munoz-Ordaz, Jonathan He, Mostafa Cham, Haotong Jing, Weikang Qian, Yixin Wen, and Jianwu Wang. Accurate and interpretable radar quantitative precipitation estimation with symbolic regression. In 2024 IEEE International Conference on Big Data (IEEE Big Data 2024), in press (2024). PDF file at http://hpcf-files.umbc.edu/research/papers/BigDataREU2024Team1IEEEBigData.pdf Michael O. Chen, Julian Hodge, Peter L. Jin, Ella Protz, Elizabeth Wong, Ruth Obe, Ehsan Shakeri, Mostafa Cham, Matthias K. Gobbert, Carlos A. Barajas"
"3094216","66786961","2025-01-08 14:47:52","taki - ImportError: No module named pathlib","Hello [USER], Glad you got everything sorted out. I will close the ticket for you. Best, On Fri Jan 03 16:55:06 2025, [STAFF] wrote: I found out the error. The problem was the virtual environment variable in bin/activate was incorrect. It works now, but I don't see how to close the ticket. Sorry for the inconvenience On Fri, Jan 3, 2025 at 4:46 PM via RT <[EMAIL]> wrote: Greetings, This message has been automatically generated in response to the creation of a ticket regarding: Subject: '[SYSTEM] - ImportError: No module named pathlib' Message: First Name: [USER] Last Name: [STAFF] Email: [EMAIL] Campus ID: [ID] System: [SYSTEM] Request Type: General Support I am using venv python and I have a script that worked a few hours ago but now it doesn't work and I don't understand what I might have done to break it. The error comes from the line: File '/umbc/xfs1/cybertrn/reu2022/team2/[USER]/research/Triples/data_cleaning-stage1and2/Stage3and4//data_pipeline_manager.py', line 4, in copyRequisiteFilesAndFolders from pathlib import Path ImportError: No module named pathlib When I try to pip3 install pathlib into my virtual environment, I get: Defaulting to user installation because normal site-packages is not writeable Requirement already satisfied: pathlib in /umbc/xfs1/gobbert/users/[USER]/.local/lib/python3.7/site-packages (1.0.1) So then I try to add this to my PATH (export PATH=/umbc/xfs1/gobbert/users/[USER]/.local/lib/python3.7/site-packages:$PATH) and I still get the same error. I assume it had to do with a module I loaded before but how do I get this to work all in virtual environment?"
"3094459","66793024","2025-01-08 16:21:32","taki Account Request: [USER]","Hi [STAFF], Your account ([USER]) has been created on [SERVER]. Your primary group is [GROUP]. Your home directory has 500M of storage. Your home directory has two symbolic links to your group storage space. Please read through the documentation found at [SERVER]. All available modules can be viewed using the command 'module avail'. Please submit additional questions or issues as separate tickets via the following link. (https://[LINK]/) Best wishes, On Sat Jan 04 19:50:38 2025, [STAFF] wrote: > [USER]"
"3094497","66793890","2025-01-08 16:32:59","taki Account Request: [USER]","Hi [USER],  Your account ([USERNAME]) has been created on [SERVER]. Your primary group is [GROUP]. Your home directory has 500M of storage. Your home directory has two symbolic links to your group storage space. Please read through the documentation found at [WEBSITE]. All available modules can be viewed using the command 'module avail'. Please submit additional questions or issues as separate tickets via the following link. (https://[WEBSITE]/)  Best wishes,   On Sat Jan 04 22:30:47 2025, [STAFF] wrote: > Please authorize [USER], > Thanks, >  [STAFF], > Sent from my iPhone  On Jan 5, 2025, at 8:57AM, RT API via RT <[EMAIL]> wrote: > Ticket <URL: https://rt.[DOMAIN]/Ticket/Display.html?id=3094497> Last Update From Ticket: First Name: [USER] Email: [EMAIL] Campus ID: [CAMPUSID] System: [SYSTEM] Request Type: Account Request Position Title: Undergraduate Student Affiliation UMBC Department: Biological Sciences Phone: [PHONE] Alt E-Mail: [EMAIL] Sponsor Information: Name: [STAFF] Department: Biological Sciences Email: [EMAIL] Phone: [PHONE] Research Title: Artificial Intelligence for Precision Oncology: A Multi-Omics Knowledge Network for Personalized Lung Cancer Treatment Abstract: Lung cancer, particularly non-small-cell lung cancer (NSCLC), is a significant health concern... People: [STAFF] Comments: I'm looking to create an account for [SERVER] to use for her research lab and need access to her student directories."
"3095182","66796651","2025-01-08 17:25:40","ada Account Request: [USER]","Hi [STAFF], Your account ([USER]) has been created on ada.rs.umbc.edu. Your primary group is pi_tjo. Your home directory has 500M of storage. Your home directory has two symbolic links to your group storage space. Please read through the documentation found at hpcf.umbc.edu. All available modules can be viewed using the command 'module avail'. Please submit additional questions or issues as separate tickets via the following link. (https://doit.umbc.edu/request-tracker-rt/doit-research-computing/) Best, On Mon Jan [DATE] [TIME], [STAFF] wrote: > [USER]"
"3095250","66794440","2025-01-08 16:44:26","taki Account Request: [USER]","Your account ([USER]) has been created on [SERVER]. Your primary group is [GROUP]. Your home directory has 500M of storage. Your home directory has two symbolic links to your group storage space. Please read through the documentation found at [SERVER]. All available modules can be viewed using the command 'module avail'. Please submit additional questions or issues as separate tickets via the following link. On Mon Jan [DATE] [TIME], [STAFF] wrote: > First Name:                [USER] > Last Name:                 [USER] > Email:                     [EMAIL] > Campus ID:                 [CAMPUSID] >  > System:                    [SERVER] >  > Request Type:              Account Request >  > Position Title:            Graduate Student >  > Affiliation                [AFFILIATION] > Department:                [DEPARTMENT] > Phone:                     [PHONE] > Address:                   [ADDRESS] >  > Role:                      Member of the research group >  > Sponsor Information: >    Name:                       [STAFF] >    Department:                 [DEPARTMENT] >    Email:                      [EMAIL] >    Phone:                      [PHONE] >  > Research Title:            [TITLE] >  > Abstract:                  [ABSTRACT]. People:                    [STAFF] Comments:                  I am looking to create an account for [SERVER] to use for her research lab and need access to her student directories."
"3096965","66830808","2025-01-09 20:01:03","[USER] - Running into error","Thanks, it worked. On Thu, Jan 9, 2025 at 2:45 PM [STAFF] via RT <[EMAIL]> wrote: Ticket Last Update From Ticket: Yes, that certainly could be the reason for this issue. Correcting the listed file path in the slurm script should resolve your issue. I cannot be entirely sure what the cause was, but either the topmon file was moved to a different directory, or the path specified in the slurm script was changed, which resulted in the script being unable to find the proper file. If you need any other assistance, please feel free to reach out! Kind regards, [STAFF] DOIT Unix Infra Student Worker On Thu Jan 09 14:22:18 2025, [USER] wrote: The jobs used to work without issue before so could this mean I accidentally changed the location of the file without noticing? On Thu, Jan 9, 2025 at 1:49 PM [STAFF] via RT <[EMAIL]> wrote: Ticket Last Update From Ticket: After investigating, it appears that the 'topmon' file, supposedly located in '/home/[USER]/tjo_common/groupshared/[USER]/6-10/src/topmon' does not exist. It appears that the directory '6-10' does not exist in /home/[USER]/tjo_common/groupshared/[USER]. However, it appears that the topmon file is located in '.../[USER]/0ther_files/src/topmon', so I would suggest editing line 14 of your slurm script to 'PROG=/home/[USER]/tjo_common/groupshared/[USER]/0ther_files/src/topmon'. Kind regards, [STAFF] DOIT Unix Infra Student Worker On Thu Jan 09 13:40:06 2025, [USER] wrote: Here is the script: #!/bin/bash #SBATCH --job-name=L287_re # Job name #SBATCH --output=slurm.out # Output file name #SBATCH --error=slurm.err # Error file name #SBATCH --partition=cpu2021 # Partition #SBATCH --qos=medium+ # Queue #SBATCH --time=4:00:00 # Time limit #SBATCH --nodes=1 # Number of nodes #SBATCH --ntasks-per-node=1 # MPI processes per node echo 'PWD is ' $PWD PROG=/home/[USER]/tjo_common/groupshared/[USER]/6-10/src/topmon echo 'path to PROG is ' $PROG for job in relax;do echo $job cp -f 'fort.4.$job' fort.4 $PROG if tail -n 1 'run1a.dat' | grep 'Program';then echo 'valid finish' else echo 'invalid finish' exit 0 fi cp -f config1a.dat fort.77 mv -f run1a.dat 'run.$job' mv -f config1a.dat 'config.$job' mv -f movie1a.dat 'movie.$job' mv -f fort.12 'fort12.$job' mv -f box1config1a.xyz 'box1config.$job' mv -f box2config1a.xyz 'box2config.$job' mv -f box1movie1a.xyz 'box1movie.$job' mv -f box2movie1a.xyz 'box2movie.$job' done cd $PWD sbatch run_cool.sh The output files are usually generated in the same folder as the input files. The path to that folder is /home/[USER]/tjo_common/groupshared/[USER]/H20. Thank you!"
"3098616","66872661","2025-01-13 13:20:47","ada - Assistance Needed with SSH Connection Issue","Hi [USER], It appeared that we had a load spike overnight which was keeping users from connecting to the login node. This should be resolved now. Please let us know if you have any further issues. On Mon Jan 13 04:11:18 2025, [STAFF] wrote: First Name: [USER] Last Name: [USER] Email: [EMAIL] Campus ID: [CAMPUSID] System: ada Request Type: General Support Hi, I am experiencing an issue while attempting to connect to the server at [SERVERNAME].rs.umbc.edu using SSH (ssh [USERNAME]@[SERVERNAME].rs.umbc.edu -p 22). I receive the error: 'kex_exchange_identification: read: Connection reset by peer Connection reset by [IPADDRESS] port 22' I have verified that my SSH client, network, and credentials are correct, and I have also tried connecting from a different network, but the issue persists. I would appreciate your assistance in resolving this problem. Thank you for your time and support. Best regards, [USER] Data Scientist -- Best, [STAFF]"
"3098901","66913540","2025-01-14 16:56:32","ada - Follow-up on High Load Git Operations","There is nothing specifically about git operations, but all I mean to say is use SLURM/the cluster to allocate yourself resources like you would a normal job, and then have the git operations run there. You can do this using srun, sbatch, or an interactive job. Here are the basics for requesting resources via slurm on Ada. Hopefully this helps. https://hpcf.umbc.edu/ada/slurm/overview/. On Tue Jan 14 11:41:48 2025, [USER] wrote: I couldn't find the link on the HPCF website that describes the procedure of running git operations in a slurm allocation. Could you refer me to that link? Thanks. That seems very likely if you're attempting to run github copilot locally on the login node and not as an API. Running this git operations is not necessarily a problem, it's running them on the login node. As was suggested in the email, run these operations in a slurm allocation as defined on the ada website, and it shouldn't be a problem. Please let me know if you have any other questions about this, or if you feel I've adequately answered your question. I turned them off a while ago AFAIR and again I turned them off today after receiving the email from [STAFF]. FYI, I was using GitHub Copilot and I uninstalled that too. Is it related to that? I am asking this to clarify because I might install that again. Hi [USER], Just to clarify, did you just turn them off? Or did you turn them off a while ago? Here is the load that we saw before we killed the operations: PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM TIME+ COMMAND 17477 [USER]    20   0  925456 770844    276 R  41.6  6.3 1058:02 git 15117 [USER]    20   0  830540 675944    272 R  41.3  5.5 836:16.54 git 15322 [USER]    20   0  773192 629160    272 R  38.9  5.1 733:27.47 git 14481 [USER]    20   0  827920 673256    272 R  38.3  5.5 833:14.53 git 24828 [USER]    20   0  938496 783896    276 R  37.6  6.4 1097:48 git 5874 [USER]    20   0  782256 638280    272 R  36.6  5.2 759:00.46 git 24916 [USER]    20   0  937968 783372    276 R  36.3  6.4 1097:47 git 16908 [USER]    20   0  907472 630508    264 D   7.3  5.1 1015:10 git 3183 [USER]    20   0  898256 613400    264 D   6.6  5.0 989:28.39 git 17955 [USER]    20   0 1148616 558132    264 D   6.3  4.5 1688:03 git 27844 [USER]    20   0  912804 629744    264 D   5.9  5.1 1029:03 git 27862 [USER]    20   0 1097216 519064    264 D   5.9  4.2 1565:41 git 32542 [USER]    20   0  932028 623724    272 D   5.9  5.1 1086:46 git 29912 [USER]    20   0 1096732 540448    264 D   5.6  4.4 1563:56 git 11909 [USER]    20   0 1520268 491832    264 D   5.3  4.0 2985:25 git 13917 [USER]    20   0 1480640 481424    264 D   5.3  3.9 2805:23 git Did you run any commands recently? First Name:                [USER]. Last Name:                 [USER]. Email:                     [EMAIL]. Campus ID:                 [CAMPUSID]. System:                    ada. Request Type:              General Support. Hi, I recently received an email from HPCF regarding a high load of git operations originating from my login node, which is affecting other users on Ada. I sincerely apologize for any inconvenience this has caused. I have already turned off all GitHub syncs and backups, but I am unsure what might still be contributing to this issue. Could you let me know what steps I should take to ensure this doesn’t happen again? Additionally, I would appreciate it if you could provide details about the specific git operations responsible for this load. Thanks."
"3099133","66922099","2025-01-14 19:57:30","taki - Latex","It looks like there was an issue with LaTeX compilation on the taki system due to an outdated installation. The problem has since been resolved by installing a newer version of TeX Live.  Here's a summary of the conversation:  * Sergio DeSouza-Machado reported an issue with compiling a manuscript using the American Meteorological Society (AMS) LaTeX package on the taki system. * He received an error message indicating that the xkeyval package was loaded before \documentclass, which is typically caused by an outdated LaTeX installation. * Max Breitmeyer from the DOIT Unix Infra team responded to the issue and installed a newer version of TeX Live, which resolved the problem. * Sergio confirmed that he could now compile his manuscript successfully using the updated LaTeX installation.  I hope this summary helps! Let me know if you have any further questions."
