"TicketID","CreatedDate","SubjectNoHTML","TransactionContent"
"3282455","2025-10-03 13:48:18","HPC Other Issue: client_loop: send disconnect: Broken pipe happens every few minutes","Hi [USER], We've made a change to the ssh config that we are hoping will solve the issue. Could you keep an eye on it let us know if you notice a difference? On Mon Sep 29 13:24:40 2025, [STAFF] wrote: Hi [USER], we've received reports from other researchers who are experiencing something similar and we are currently investigating the issue. A little more information might help us: - First, can you give us exact times and dates for some of the disconnects you are seeing? This will help us look at the connection logs to find where it happened. - Second, what kind of connection do you have? Wired or wireless? Are you on the vpn when connecting to chip? - Third, are you experiencing it on one of the login nodes more than another? Let me know the above and we can go from there. If you experience anymore of these disconnects please write down the exact date and time you experienced it so we can look into it further. On Mon Sep 29 11:46:36 2025, [STAFF] wrote: First Name:                [USER] Last Name:                 [USER] Email:                     [EMAIL] Campus ID:                 [CAMPUS_ID] Request Type:              High Performance Cluster Hello, since last week I have been disconnected repeatedly after logging into chip after only a few minutes of waiting for jobs to progress. I am using the standard 'ssh [USER]@chip.rs.[DOMAIN]' command that has been working for months, but it is disconnecting me too frequently. Why is the Connection to chip.rs.[DOMAIN] closed by remote host closed so much while I'm working? This is interrupting our research. Is there a different way to login now of which I am unaware? Thank you!"
"3282508","2025-09-30 20:11:03","HPC Other Issue: Need to install a module for WRF Simulation.","Hello [USER], good afternoon. Thank you very much for providing this information. Actually, I tried to find the module using 'module spider gfortran' to check if it is available or not. I will try to load the module using the way you mentioned and complete my work. If not I will ask for further help. Regards, [STAFF]. On Mon Sep 29 12:57:26 2025, [EMAIL] wrote: Hi [USER], What happens when you attempt to use gfortran? Without loading any modules, there is a library for gfortran located in /usr/bin/gfortran, which should be on your PATH. Additionally, you can load more specific versions of gfortran through other modules. For example, if you load GCCcore with 'module load GCCcore', you can see that the gfortran library is also present, now located at '/usr/ebuild/installs/software/GCCcore/13.3.0/bin/gfortran' (you can verify yourself with 'which gfortran' to show you the location of the gfortran library). Let me know if this helps! -- Kind regards, [STAFF] DoIT Unix Infra Student Worker. On Mon Sep 29 12:33:11 2025, [EMAIL] wrote: First Name: [USER] Last Name: [USER] Email: [EMAIL] Campus ID: [ID] Request Type: High Performance Cluster Hello, I need to run the WRF climate simulation model to generate datasets for my project. To run this simulation model, I need to use 'gfortran' library, but this is not available in the CHIP cluster. It would be very helpful if you could install the library. Please check the given link if you need further information about running the WRF model. WRF Tutorial Link: https://www2.mmm.ucar.edu/wrf/OnLineTutorial/compilation_tutorial.php#STEP1"
"3283387","2025-09-30 15:55:36","HPC User Account: [ID] in pi_[USER]","Hi [USER], Your account ([USER]) has been added to the [GROUP] group on chip.rs.umbc.edu. You can find a short tutorial on how to use chip here: https://umbc.atlassian.net/wiki/spaces/faq/pages/1112506439/Getting+Started+on+chip Please read through the documentation found at hpcf.umbc.edu > User Support. All available modules can be viewed using the command 'module avail'. Please submit additional questions or issues as separate tickets via the following link. (https://doit.umbc.edu/request-tracker-rt/doit-research-computing/) On Tue Sep 30 11:30:11 2025, [STAFF] wrote: Approve it. Thanks! On Tue, Sep 30, 2025 at 11:07 AM RT API via RT <[EMAIL]> wrote: This e-mail is a notification that a UMBC user: [USER] <[EMAIL]> has requested an account within UMBC's HPC environment in your group <[GROUP]>. As the PI, we request that you acknowledge and approve this account creation by replying to this message. Alternatively you can go to this link and review the ticket and indicate your decision here: Ticket <URL: https://rt.umbc.edu/Ticket/Display.html?id=3283387> Once we have your approval, we will create the account and you and the new user will receive another e-mail notifying you that the account has been created. If you have any other questions or concerns please contact us. - UMBC DoIT Research Computing Support Staff Best wishes Sincerely yours [STAFF] <[EMAIL]> Website: https://bdal.umbc.edu/people/[STAFF]/ WebEx: https://umbc.webex.com/meet/[STAFF] Professor of Data Science, Department of Information Systems Director, Big Data Analytics Lab Director, Center for Scalable Data and Computational Science (ScaleS) Co-Director, NSF REU Site on Online Big Data Analytics Co-Lead, NSF HDR institute for Data and Model Revolution in the Polar Regions (iHARP) University of Maryland, Baltimore County [PHONE NUMBER] ITE 423 -- Best, [STAFF] DOIT Unix infra, Graduate Assistant"
"3283454","2025-09-30 17:15:05","HPC User Account: [USER] in Student Group","Hello there, Here is how to request an account on chip: https://[SERVER_URL]/wiki/spaces/faq/pages/[PAGE_ID]/How+to+request+a+[ACCOUNT_TYPE]+account+on+[SERVER_NAME] Let me know if that helps, [STAFF]"
"3283590","2025-10-01 13:55:24","HPC User Account: [ID] in pi_[STAFF]","Hi [USER], Your account ([USER]) has been created on chip.rs.umbc.edu. Your primary group is pi_[STAFF]. Your home directory has 500M of storage. You can find a short tutorial on how to use chip here: https://[EMAIL]/wiki/spaces/faq/pages/[NUMBER]/Getting+Started+on+chip Please read through the documentation found at hpcf.umbc.edu > User Support. All available modules can be viewed using the command 'module avail'. Please submit additional questions or issues as separate tickets via the following link (https://[EMAIL]/request-tracker-rt/[STAFF]-research-computing/). On [DATE] [STAFF] wrote: Yes, [USER] is a PhD student working in my group. Thanks. Best regards, [STAFF]. On [DATE], at [TIME]PM, RT API via RT <[EMAIL]> wrote: Ticket https://rt.[EMAIL]/Ticket/Display.html?id=[NUMBER] First Name: [USER] Last Name: [USER] Email: [EMAIL] Campus ID: [USER] Request Type: High Performance Cluster Create/Modify account in existing PI group Existing PI Email: [EMAIL] Existing Group: pi_[STAFF] Project Title: Password Leak Detection with Machine Learning Project Abstract: Training Machine Learning Models to Detect Password Leaks. Best, [STAFF]."
"3283593","2025-09-30 19:09:58","HPC Other Issue: recent publication","I have added this publication to our website: https://hpcf.umbc.edu/publications/ On Tue Sep 30 13:52:23 2025, [USER] wrote: First Name:                [FIRST NAME] Last Name:                 [LAST NAME] Email:                     [EMAIL] Campus ID:                 [CAMPUS ID] Request Type:              High Performance Cluster Hi [STAFF], Geophysical Trends Inferred From 20 Years of AIRS Infrared Global Observations [FIRST NAME] [LAST NAME], L. Larrabee Strow, R. J. Kramer First published: 11 August 2025 https://doi.org/10.1029/2025JD043501 See the link for bib info [FIRST NAME] Best, [STAFF]"
"3283767","2025-10-07 16:00:19","HPC Slurm/Software Issue: Deleting .julia directories","Hi [USER], The solution is still to run chmod -R u+wrx DataFrames before attempting to remove the directory. The process is hanging because there are many files and directories to modify, which takes time. While the command is running, if your session is idle for too long, you may get logged out before it completes. To avoid this, I recommend using a tmux session to run the command so it can finish without interruption. You can learn more about tmux here (https://www.geeksforgeeks.org/linux-unix/tmux-in-linux/). Once the permissions have been updated, you can remove the directory. I have already removed the /umbc/rs/pi_[STAFF]/users/[USER]/.julia/packages/DataFrames directory for you after changing the permissions. Please reply to the ticket if you still have questions. On Tue Sep 30 16:50:49 2025, [USER] wrote: First Name:                [USER] Last Name:                 [USER] Email:                     [EMAIL] Campus ID:                 [CAMPUS_ID] Request Type:              High Performance Cluster Ok, so this goes back to an issue I was at office hours last Friday with [STAFF]. We thought we resolved it, and it is kind of resolved, but I still have an issue deleting what I think are essentially corrupted directories. So, I have been dealing with issues downloading packages in Julia on the cluster, and I narrowed down the issue to the specific package 'DataFrames', which is actually quite a simple package, all it does is allows you to read CSV and other text files. The workaround that I have to do is that I just wrote my code in such a way that does not require the usage of DataFrames which is fine, but I still have a few directories in my research storage that house DataFrames package that I need to be deleted. Specifically, under /umbc/rs/pi_[STAFF]/users/[USER] I have 2 directories, '.julia' and '.julia_new' both of which need to be deleted as they house the package DataFrame which prevents me from really running anything. I also have the directory '.julia_test' which I am currently using and does work, so it shouldn’t be deleted. I also have another .julia directory under /umbc/rs/pi_[STAFF]/common that needs to be deleted as well. I have tried running 'rm -rf .julia' for hours on end and it hangs. Even going into the directory itself, following the path, '/umbc/rs/pi_[STAFF]/users/[USER]/.julia/packages' and then doing 'rm -rf DataFrames' will hang as well. What ended up working on Friday, which was doing 'chmod -R u+wrx DataFrames' hangs as well now too. I have narrowed the issue all the way down to a specific file in DataFrames, it would be in the path '/umbc/rs/pi_[STAFF]/users/[USER]/.julia/packages/DataFrames/C5AEe/src' which is the source code for this specific package. The file in 'subdataframe' in the source directory is always the issue, which is weird because looking on github, the subdataframe.jl file, with which this is located, looks perfectly fine to me. Regardless, I would still like there to be a way to delete these excess directories in my research storage. Thanks."
"3284012","2025-10-03 13:44:54","HPC Slurm/Software Issue: sbatch job is not running","Yes it is working. Thank you. Best [STAFF] On Fri Oct 3 2025 943AM [STAFF] via RT [EMAIL] wrote Ticket URL https//rt.[DOMAIN]/Ticket/Display.html?id=3284012 Last Update From Ticket Hello I wanted to follow up to make sure everything is working as expected now. If so Ill close out this ticket but you can always reach back out if you need more help. Best [STAFF]  Note: I replaced 'UMBCHelp@rt.u= mbc.edu' with '[EMAIL]' and assumed the domain is not meant to be anonymized, but I removed the subdomain 'rt.' as it's likely internal and not public-facing. If you'd like me to replace the entire email address or keep the original subdomain, please let me know!"
"3284272","2025-10-03 16:05:31","HPC User Account: [USER] in Student Group","The user account has been created: Hi [USER], Your account ([USER]) has been created on chip.rs.umbc.edu. Your primary group is student. Your home directory has 500M of storage. You can find a short tutorial on how to use chip here: https://umbc.atlassian.net/wiki/spaces/faq/pages/1112506439/Getting+Started+on+chip Please read through the documentation found at hpcf.umbc.edu > User Support. All available modules can be viewed using the command 'module avail'. Please submit additional questions or issues as separate tickets via the following link. (https://doit.umbc.edu/request-tracker-rt/doit-research-computing/) Hi [USER], Your user has been added to pi_nilanb as a secondary group. Your home directory has additional symbolic links to your group storage space. Please read through the documentation found at hpcf.umbc.edu. Please submit additional questions or issues as separate tickets via the following link. (https://doit.umbc.edu/request-tracker-rt/doit-research-computing/) As you can see, I added [USER] to both the 'student' group (That was the group mentioned in the original request), and also added him to pi_nilanb. Let me know if that was an error, and I can remove him from any unnecessary groups. For the 'premium access' question, I'll forward you to [STAFF]."
"3284322","2025-10-02 13:28:43","HPC User Account: [ID] in pi_[STAFF]","Your account has been created: Hi [USER], Your account ([USER]) has been created on chip.rs.umbc.edu. Your primary group is pi_[STAFF]. Your home directory has 500M of storage. You can find a short tutorial on how to use chip here: https://[EMAIL]/wiki/spaces/faq/pages/[NUMBER]/Getting+Started+on+chip Please read through the documentation found at hpcf.umbc.edu > User Support. All available modules can be viewed using the command 'module avail'. Please submit additional questions or issues as separate tickets via the following link. (https://[EMAIL]/request-tracker-rt/[STAFF]-research-computing/) Let me know if you have any more questions, [STAFF]"
"3284639","2025-10-07 15:49:45","HPC Other Issue: slurm mem error","Hi [USER] OK I'll keep an eye out. The job asked for 240 processors, which had issues when I started them out but then magically worked fine after doing the unset SLURM_MEM_PER_CPU SLURM_MEM_PER_GPU SLURM_MEM_PER_NODE Last two days I started jobs which asked for 64 cpus, all ran fine! SO like you, I have no idea why this happened. Cheers [STAFF] If you agree your issue is resolved, please give us feedback on your experience by completing a brief satisfaction survey: https://umbc.us2.qualtrics.com/SE/?SID=SV_etfDUq3MTISF6Ly&customeremail=[EMAIL]&groupid=EIS&ticketid=3284639&ticketowner=[STAFF]&ticketsubject=HPC Other Issue: slurm mem error If you believe your issue has not been resolved, please respond to this message, which will reopen your ticket. Note: A full record of your request can be found at: Ticket https://rt.umbc.edu/Ticket/Display.html?id=3284639 Hi [USER] I've tried this a few times and am not able to replicate the issue you're having. My first thought was that something was getting set in your files and then not being unset in future runs on the same terminal, but I've tried a few times and am unable to replicate. My runs I did today can be found in the output of CLUST_MAKE_ERA_RTP-442284.out and CLUST_MAKE_ERA_RTP-442245.out. Without being able to replicate the issue there's not much else I can do to debug, as I've looked through your file and didn't see anything that stood out to me. I would advise removing as many of the commented SBATCH directives as possible as it could be reading them in funny unexpected ways, but as a policy, we don't make changes to people's files without their presence so they can confirm the changes that are being made. If you see this pop up again, feel free to reopen this ticket, but for now I'll going to close it. On Thu Oct 02 09:27:50 2025, [USER] wrote: Hi [STAFF], Try it with argument 10 or with argument 4 eg sbatch --array=241-276 sergio_matlab_chip.sbatch 10 The problem is intermittent ie does not happen each time I submit a job. Looking backwards at history,I believe it happened last night with job 435223 -[USER] On Thu, Oct 2, 2025 at 8:45 AM [STAFF] via RT <UMBCHelp@rt.umbc.edu> wrote: Ticket https://rt.umbc.edu/Ticket/Display.html?id=3284639 Last Update From Ticket: Hi [USER], I added a .err and a .out file location to your sbatch to help with debugging a little bit. First, I must recommend cleaning up all the stray SBATCH directives. There are quite a few that will conflict with each other if you're not careful (see line 45 and 55 in your sbatch file). Second, I ran the sbatch file myself and didn't get the same error you did. Instead, I got [USER@chip-login1 CLUSTMAKE_ERA5]$ cat CLUST_MAKE_ERA_RTP-435429.err Unrecognized function or variable 'clustbatch_make_eracloudrtp_sergio_sarta_filelist'. Which seems to be missing some sort of command. When you run this file are you doing it from the login node? Do you normally have any modules loaded? On Thu Oct 02 07:49:47 2025, [USER] wrote: First Name: [USER] Last Name: [USER] Email: [EMAIL] Campus ID: [CAMPUS_ID] Request Type: High Performance Cluster For some reason the last couple days I have been getting the following error on a script that (I think) has worked for ages on eg taki, now modified for chip srun: fatal: SLURM_MEM_PER_CPU, SLURM_MEM_PER_GPU, and SLURM_MEM_PER_NODE are mutually exclusive. And googling, I finally found a solution on https://harvardmed.atlassian.net/wiki/spaces/O2/pages/1586793613/Troubleshooting+Slurm+Jobs which says at the command line to first do unset SLURM_MEM_PER_CPU SLURM_MEM_PER_GPU SLURM_MEM_PER_NODE Can you look at the following to see if there is a double call to srun or something? /home/[USER]/MATLABCODE/RTPMAKE/CLUST_RTPMAKE/CLUSTMAKE_ERA5/[USER]_matlab_chip.sbatch Thanks [USER]"
